text,label
"listening to the "" new age "" station on ?",1
i didnt mean knee high i ment in lengt it goes down to my knees - and is so cute i love it !,1
i wana see the vid kyan,1
if my mom went on for the love of ray j or any reality show i'd bee pissed .,0
welcome to twitter xx,1
"oh yeah ... however , i'd still like to be in the midst of it all though ... u know ...",1
i need a nice tea-drinking pic for our club membership page - anyone got one they'd be happy for me to use ?,1
"so twitpic it lol , i love home depot , love working w / my hands and building things , my dad was in construction",1
"it's enough to make you sick , eh ? there's nothing sacred anymore",0
""" iran , with its unity and god's grace , will punch the arrogance ( west ) 22 nd of bahman ( feb 11 ) in a way that will leave them stunned , """,0
don't say the n-word,0
city watchdog in chaos as chief executive hector sants resigns just months before general election,0
"rt god it is a big news day today ! by popular demand , "" ah ! my goddess season 2 "" will be released in 3 2 - disc sets : may , jul , sep .",1
yes ; hope to release that feature next month,1
rt i flip ( in ) love follow them to win a free flip camera ! rt please !,1
"well damn ! renee still aint playin , is she ? ! and neither is jack !!",0
"oh , geez , i'd have a lot more songs that way .",0
hahahah that was worded weird . i'm reading while a candle is burning in my room,0
on insurance and hospitals : i wonder if there is a connection between the hospital system overload and the format ...,0
chilling textin ( ? ) ... to much info .. foreal you know its los ward yung squad bitch ...,0
your busy schedule might not leave you a lot of room today for ... more for scorpio 8,0
photo : ( via fuckyeahkristinchenoweth ) omgomgomgomg may 19 th,1
"heres a new idea , how about i get you a spoon so you can read my ass .",0
rt you want via,1
andy is rambling on c & c this morning - shutup and get on with it man,0
"lol , where are you ? i once forgot the car completely and left home without it .",0
"and yet they are a minority ... despite the election law being changed to skew things in aoun's favor , they remain a minority",0
the newest member of _________________ !,1
"hey adam , jpizzle 1122 ( the microwave dude on utube ) seems to have a good live stream for mw 2 , maybe ask for his help ?",1
little caesars large cheese or pepperoni - no limit - 2 / 10 for 3 . 99 :,1
oh my goodness i'm emo,0
wait wait wait ... im confused ... are you there ?,0
rt new just posted on : www.arranwhisky.com/default.aspx?page competition free bottle and chocolates,1
"emm , my lip is starting to hurt :/",0
finally off work . gonna go home and try to sleep whatever this is off so i can go to my other job . i hate to miss work,0
"travel off to rocky start thanks to wayward wallet . just made my flight , but horridly tense .",0
rt 50 awesome twitter tips to become a pro via,1
i was thinking that i wanna make a cake party in my house :o ! lol,1
0 tpgvmh 6 uow & feature player_embedded check it out ! in the middle of london ! so cool !,1
"mountains , trees , and beautiful cotton-ish blue sky ! i will fly ! :)",1
"follow me ? please ... (: your great and it would make my day . btw , i wanna shampoo your hair ;d lmao . 3",1
hi there ! nice to see you back !,1
rt i ? new york !,1
my coffin has already been reshaped as it's going with me !!!,1
i went to hot power yoga and i loved it . much better than bikram to me . power good . hot good . sweat good . what's not to love ?,1
"lol , well i considered posting something normal , but since when have i been normal .",0
it saddens my heart 2 c women with black eyes ! :(,0
i cant feel my feet .. that cant be good ..,0
"i hope so dude hahaha 3 . so , which subject do you have right now ? xx",1
"he's been ranting about this for years rt finally blogged "" business is conducted by people , not users """,0
"rt happy birthday to carole king b . 1942 , carmen miranda 1909 ,",1
going to get jubby's valentines day gift with some assistance from lee and shane :) finally got my car registered :) work monday-friday 12 - 4 ?,1
about to spend the next couple of hours of my life working for the man,0
rt i should of threw my self on the floor and screamed ( bro u would be gettin a fat check if u had done dat ),0
need to find a red all lace see thru dress ( like my black one ) for my friend brian goins red && black birthday party this weekend ;; his gift !,1
well deserved . seems emblematic of a new bbc confidence unashamedly to produce docs that are pitched at more advanced level .,1
"yea , that's y i'm not supposed to use it , they wanna attribute all the results to the mouthwash , without chewing gum to help it .",0
how dare you i am now * your darklordwaffle pimp now hoe work that corner * pimp slaps *,0
learning about water heaters - ah the joys of home ownership - and still being single : ),1
2 cans of full fat coke and im bouncing round the place .,1
porn ! ? ! shit wont be e z my g ! trust me i tried ! rt i think i know what i am giving up for lent ... it won ' ...,0
i'm so super duper excitied right now cuz ' i'm gonna watch harry potter !,1
hey ! going to see you in dundrum on friday :) i was talking to ur mam ( my teacher ) today :) no schol because im going to you :) x,1
"rt "" i lift my eyes up to you , to you whose throne is in heaven . "" ps . 123 : 1 ... 3 // love it . and the maker of heaven & earth :)",1
how to succeed in the age of going solo ? a great article for everyone to read in the wsj .,1
what disneyworld commercial ? he's the saints qb and is sooo cute :),1
las year i was so stressed out i forgot i was my birthday . didn't figure it out til 730 that night . my bad .,0
"devote yourself to prayer , being watchful and thankful . very good verse & a great way 2 start a day ! have a fun day in pc !",1
just back from a walk with the doggies . got caught in a hail storm - hailstones really sting when they're lashing down on your face !,0
to better understand me lol - rt i'm going back to school @ doing a free 5 week automotive course ! :),1
"and simon peter answered and said , thou art the christ , the son of the living god . matthew 16 : 16 jesus loves you",1
bored with waiting for the ipad to come out so i've made my own out of a journos pad and some spray mount,0
so i have come to the conclusions that there's bitches who dnt like me on here bt follow wtf i gotta say !,0
rock onrt billzucker : i love ( cont ),1
rt who wants to laugh ?,1
"my clothes smell like weed , vomit and chicken . and i didnt smoke . nor vomit . and most unfortunately didn't eat chicken . nice -_-",0
"it took 2 hours rummaging through my receipt drawer only to learn i ? d lost the receipt , isn ? t there a better way ?",0
conferences have never made me wish to have a child . ever . what are you drinking @ said cons ??,0
i favorited a youtube video -- zooey deschanel in weeds,1
ugh ... if i have too much of the gogo juice i get a bad stomach ache,0
"urgh i'm soo bored and tired . text . call , anything . hmm i must find things to multi task on now !",0
"guayadeque - nice music player ubuntu geek : music player with the aims to be intuitive , easy to use and fast eve ...",1
headed to human resources class . now i know why michael hates toby so much .,0
bab girls club was funny ass shyt can't wait til the reuion shw,1
rt don't forget to watch the teaser & rt for a chance to win a signed fnv poster must be 18,1
my moms a retard for reading my texts and thinking my most recent tweet was inapproprate,0
rt retirement : don't run out of money before you run out of time,0
so i missed again this wk ... can some tell me wht happened,0
"everyone says to give up on you , but they don't see you like i do .",0
"after these shows i'm callin it a early nite , been up early and already gettin sleepy !!",0
no beer for me today either . but i am enjoying the 2008 odonata grenache .,1
free : star bucks gift card,1
rt so google buzz is a hot topic look at the offical google [ video ] - and you will love it go google,1
guess whats driving on the way to my house ),1
"and verizon to reduce the fees they charge for their airtime , and now if they're successful w / their high speed effort , they'll create the",1
i got one more song to finish :) then i will send it,1
"rt sorry i've been quiet on the tweetside , i'm just really into right now ( its addictive .",0
just watched 10 minutes of house of payne cause i didnt want to get up and look for the remote .,0
"having english class now , we're doing profiles to ning . com , not so different from my freetime :d",1
hey thats a good news . what is the name of that film .,1
